komentar,predicted_label,confidence
Sejauh ini matchmaking sering bikin emosi karena tim random.,negatif,0.6475
Kalau dilihat MOBA ini mirip MOBA lain secara keseluruhan.,netral,0.9195
Sejauh ini game ini mirip MOBA lain tergantung pemainnya.,netral,0.9286
Dari sisi gameplay ML mirip MOBA lain untuk sekarang.,netral,0.9318
Sejauh ini MLBB terasa kompetitif buat hiburan.,netral,0.9189
Kalau dari pengalamanku MLBB masih asik dimainkan buat hiburan.,netral,0.8981
Overall mode ranked cukup menyenangkan tanpa harus serius.,netral,0.88
Jujur aja ML banyak masalah dari sistemnya.,netral,0.6023
Overall Mobile Legends terasa kompetitif buat hiburan.,netral,0.7862
Secara umum Mobile Legends tidak terlalu beda secara keseluruhan.,netral,0.9191
Dari sisi gameplay aplikasi ini cukup standar secara keseluruhan.,netral,0.9312
Secara umum ML cukup standar untuk sekarang.,netral,0.9322
Jujur aja mode ranked bikin betah main buat hiburan.,netral,0.8406
Sejauh ini MOBA ini lumayan stabil tergantung pemainnya.,netral,0.9235
Yang bikin kesel matchmaking kurang adil gara-gara lag.,negatif,0.9225
Jujur aja mode ranked cukup mengecewakan karena tim random.,netral,0.6468
Overall mode ranked masih asik dimainkan buat hiburan.,positif,0.6178
Terus terang game ini kurang adil karena tim random.,netral,0.8175
Menurutku mode ranked cukup menyenangkan buat ngilangin penat.,netral,0.8459
Menurutku ML cukup mengecewakan soal balance hero.,netral,0.5136
Menurutku MOBA ini punya kelebihan dan kekurangan tergantung pemainnya.,netral,0.9229
Overall MLBB masih asik dimainkan apalagi kalau mabar.,positif,0.8727
Sejauh ini mode ranked cukup mengecewakan karena tim random.,netral,0.8129
Sejauh ini MLBB seru dan nagih tanpa harus serius.,netral,0.8132
Overall MLBB seru dan nagih buat ngilangin penat.,positif,0.9134
Menurutku mode ranked terasa kompetitif tanpa harus serius.,netral,0.9097
Jujur aja mode ranked cukup menyenangkan buat hiburan.,netral,0.925
Yang bikin kesel game ini banyak masalah gara-gara lag.,negatif,0.8297
Menurutku MLBB bikin betah main di waktu senggang.,positif,0.5324
Kalau dari pengalamanku MLBB terasa kompetitif tanpa harus serius.,netral,0.9218
Terus terang game ini sering bikin emosi karena tim random.,negatif,0.6739
Menurutku ML banyak masalah soal balance hero.,negatif,0.505
Terus terang ML terlalu bikin stres karena banyak AFK.,negatif,0.9172
Terus terang Mobile Legends terlalu bikin stres karena banyak AFK.,negatif,0.7731
Kalau dari pengalamanku game ini cukup menyenangkan buat ngilangin penat.,netral,0.9151
Secara umum game ini cukup standar buat game mobile.,netral,0.9292
Menurutku Mobile Legends cukup menyenangkan apalagi kalau mabar.,netral,0.7141
Menurutku MLBB cukup menyenangkan apalagi kalau mabar.,netral,0.5598
Yang bikin kesel ML terlalu bikin stres soal balance hero.,negatif,0.9231
Sejauh ini main ML seru dan nagih apalagi kalau mabar.,positif,0.8873
Yang bikin kesel game ini cukup mengecewakan karena tim random.,netral,0.6638
Kalau dari pengalamanku mode ranked seru dan nagih buat ngilangin penat.,netral,0.6705
Secara umum MOBA ini lumayan stabil buat game mobile.,netral,0.9291
Kalau dari pengalamanku main ML terasa kompetitif tanpa harus serius.,netral,0.8802
Terus terang game ini cukup mengecewakan dari sistemnya.,netral,0.8849
Sejauh ini game ini mirip MOBA lain secara keseluruhan.,netral,0.9319
Kalau dari pengalamanku mode ranked masih asik dimainkan apalagi kalau mabar.,netral,0.6543
Terus terang matchmaking kurang adil soal balance hero.,negatif,0.832
Yang bikin kesel ML kurang adil karena tim random.,negatif,0.8712
Sejauh ini MLBB bikin betah main buat ngilangin penat.,netral,0.5979
Sejauh ini game ini punya kelebihan dan kekurangan tergantung pemainnya.,netral,0.9248
Menurutku Mobile Legends kurang adil dari sistemnya.,netral,0.9078
Menurutku Mobile Legends cukup menyenangkan tanpa harus serius.,netral,0.923
Jujur aja game ini cukup mengecewakan karena tim random.,netral,0.8671
Sejauh ini mode ranked terasa kompetitif apalagi kalau mabar.,netral,0.624
Secara umum MOBA ini tidak terlalu beda buat game mobile.,netral,0.9286
Kalau dari pengalamanku MLBB seru dan nagih buat ngilangin penat.,netral,0.5251
Jujur aja mode ranked masih asik dimainkan tanpa harus serius.,netral,0.8989
Sejauh ini matchmaking terlalu bikin stres dari sistemnya.,netral,0.7501
Sejauh ini ML cukup mengecewakan dari sistemnya.,netral,0.886
Sejauh ini game ini banyak masalah dari sistemnya.,netral,0.9186
Kalau dilihat MOBA ini punya kelebihan dan kekurangan untuk sekarang.,netral,0.9222
Menurutku game ini cukup mengecewakan soal balance hero.,netral,0.844
Menurutku mode ranked terasa kompetitif di waktu senggang.,netral,0.7983
Overall Mobile Legends masih asik dimainkan buat hiburan.,positif,0.4801
Overall Mobile Legends terasa kompetitif apalagi kalau mabar.,positif,0.7782
Jujur aja mode ranked terasa kompetitif buat ngilangin penat.,netral,0.6034
Sejauh ini game ini kurang adil karena banyak AFK.,netral,0.881
Yang bikin kesel matchmaking kurang adil dari sistemnya.,negatif,0.7492
Kalau dari pengalamanku game ini cukup menyenangkan di waktu senggang.,netral,0.9031
Jujur aja game ini banyak masalah karena banyak AFK.,netral,0.7936
Menurutku main ML terasa kompetitif apalagi kalau mabar.,positif,0.7229
Kalau dilihat MOBA ini lumayan stabil buat game mobile.,netral,0.9193
Sejauh ini game ini seru dan nagih di waktu senggang.,netral,0.7609
Jujur aja Mobile Legends banyak masalah karena tim random.,netral,0.7352
