komentar,predicted_label,confidence
"Yang aku rasain mode classic, butuh koneksi internet stabil, bisa dinikmati kalau santai.",netral,0.9349
"Kalau dari pengalamanku game MOBA ini, hasil permainan sangat tergantung tim, balik lagi ke preferensi masing-masing.",netral,0.9392
"Setelah update kemarin game ini, permainannya terasa kompetitif, lumayan buat hiburan.",netral,0.9319
"Kalau main lama-lama sistem di ML, kadang juga ketemu pemain aneh, kurang cocok kalau lagi capek.",netral,0.8087
"Pas nyobain lagi Mobile Legends, kontrolnya cukup responsif, cukup buat ngisi waktu luang.",netral,0.5806
"Yang aku rasain game MOBA ini, update-nya cukup sering, kurang cocok kalau lagi capek.",netral,0.9337
"Kalau mabar mode ranked, kadang ketemu tim enak, tergantung lawan yang didapat.",netral,0.8623
"Beberapa hari main game Mobile Legends Bang Bang, kadang juga ketemu pemain aneh, bisa bikin lupa waktu.",netral,0.9156
"Menurutku ML, kerja sama tim jadi faktor utama, rasanya standar untuk game MOBA.",netral,0.9389
"Sejauh ini game ini, banyak hero yang bisa dicoba, balik lagi ke preferensi masing-masing.",netral,0.9399
"Sejauh ini aplikasi Mobile Legends, kadang ketemu tim enak, jadi kadang seru kadang bikin kesel.",netral,0.9352
"Menurutku mode classic, banyak hero yang bisa dicoba, lebih enak kalau bareng temen.",netral,0.9389
"Kalau dari pengalamanku game Mobile Legends Bang Bang, ping sangat berpengaruh ke gameplay, ya kurang lebih seperti itu.",netral,0.9376
"Kalau dari pengalamanku mode ranked, banyak hero yang bisa dicoba, kurang cocok kalau lagi capek.",netral,0.9354
"Kalau mabar game Mobile Legends Bang Bang, gameplay-nya khas MOBA mobile, balik lagi ke preferensi masing-masing.",netral,0.9161
"Kalau dilihat sekarang mode ranked, ping sangat berpengaruh ke gameplay, tergantung lawan yang didapat.",netral,0.9351
"Terus terang mode classic, banyak hero yang bisa dicoba, bisa dinikmati kalau santai.",netral,0.9321
"Kalau main lama-lama game ini, kadang ketemu tim enak, jadi kadang seru kadang bikin kesel.",netral,0.9232
"Terus terang ML, kadang ketemu tim enak, bisa dinikmati kalau santai.",netral,0.9017
